filename,mosquito_count
DSC_6219.JPG,253
DSC_6220.JPG,288
DSC_6221.JPG,277
DSC_6222.JPG,309
DSC_6223.JPG,300
DSC_6224.JPG,277
DSC_6225.JPG,281
DSC_6226.JPG,252
DSC_6227.JPG,255
DSC_6228.JPG,250
DSC_6229.JPG,277
DSC_6230.JPG,282
DSC_6231.JPG,292
DSC_6232.JPG,273
DSC_6233.JPG,278
DSC_6234.JPG,283
DSC_6235.JPG,274
DSC_6236.JPG,289
DSC_6237.JPG,448
DSC_6238.JPG,432
DSC_6239.JPG,444
DSC_6240.JPG,471
DSC_6241.JPG,448
DSC_6242.JPG,459
DSC_6243.JPG,452
DSC_6244.JPG,451
DSC_6245.JPG,24
DSC_6246.JPG,19
DSC_6247.JPG,18
DSC_6248.JPG,16
DSC_6249.JPG,52
DSC_6250.JPG,63
DSC_6251.JPG,53
DSC_6252.JPG,60
DSC_6253.JPG,354
DSC_6254.JPG,331
DSC_6255.JPG,339
DSC_6256.JPG,349
DSC_6257.JPG,335
DSC_6258.JPG,344
