filename,mosquito_count
DSC_6509.JPG,187
DSC_6510.JPG,162
DSC_6511.JPG,141
DSC_6512.JPG,147
DSC_6513.JPG,168
DSC_6514.JPG,153
DSC_6515.JPG,144
DSC_6516.JPG,149
DSC_6517.JPG,159
DSC_6518.JPG,176
DSC_6519.JPG,32
DSC_6520.JPG,36
DSC_6521.JPG,28
DSC_6522.JPG,36
DSC_6523.JPG,19
DSC_6524.JPG,30
DSC_6525.JPG,21
DSC_6526.JPG,29
DSC_6527.JPG,32
DSC_6528.JPG,22
DSC_6529.JPG,413
DSC_6530.JPG,404
DSC_6531.JPG,413
DSC_6532.JPG,398
DSC_6533.JPG,392
DSC_6534.JPG,395
DSC_6535.JPG,407
DSC_6536.JPG,415
DSC_6537.JPG,211
DSC_6538.JPG,207
DSC_6539.JPG,194
DSC_6540.JPG,198
DSC_6541.JPG,214
DSC_6542.JPG,220
DSC_6543.JPG,205
DSC_6544.JPG,201
DSC_6545.JPG,201
DSC_6546.JPG,211
DSC_6547.JPG,205
DSC_6548.JPG,318
DSC_6549.JPG,326
DSC_6550.JPG,321
DSC_6551.JPG,309
DSC_6552.JPG,319
DSC_6553.JPG,317
DSC_6554.JPG,310
DSC_6555.JPG,313
DSC_6556.JPG,322
DSC_6557.JPG,313
