filename,mosquito_count
DSC_5348.JPG,193
DSC_5349.JPG,212
DSC_5363.JPG,1151
DSC_5364.JPG,1173
DSC_5365.JPG,1160
DSC_5366.JPG,1161
DSC_5367.JPG,1162
DSC_5368.JPG,1169
DSC_5389.JPG,1812
DSC_5390.JPG,1793
DSC_5391.JPG,1847
DSC_5392.JPG,1839
DSC_5393.JPG,1857
DSC_5394.JPG,1873
DSC_5426.JPG,1713
DSC_5427.JPG,1742
DSC_5428.JPG,1752
DSC_5429.JPG,1757
DSC_5430.JPG,1834
DSC_5431.JPG,1822
DSC_5461.JPG,1437
DSC_5462.JPG,1422
DSC_5463.JPG,1386
DSC_5464.JPG,1394
DSC_5465.JPG,1394
DSC_5545.JPG,91
DSC_5546.JPG,91
DSC_5547.JPG,89
DSC_5548.JPG,82
DSC_5569.JPG,223
DSC_5570.JPG,228
DSC_5571.JPG,231
DSC_5594.JPG,683
DSC_5595.JPG,710
DSC_5596.JPG,703
DSC_5597.JPG,696
DSC_5598.JPG,683
DSC_5599.JPG,688
DSC_5600.JPG,669
DSC_5601.JPG,683
DSC_5627.JPG,1411
DSC_5628.JPG,1443
DSC_5629.JPG,1424
DSC_5630.JPG,1421
DSC_5631.JPG,1421
DSC_5653.JPG,1779
DSC_5654.JPG,1774
DSC_5655.JPG,1772
