filename,mosquito_count
DSC_5348.JPG,184
DSC_5349.JPG,199
DSC_5363.JPG,1114
DSC_5364.JPG,1149
DSC_5365.JPG,1131
DSC_5366.JPG,1143
DSC_5367.JPG,1141
DSC_5368.JPG,1248
DSC_5389.JPG,2082
DSC_5390.JPG,2085
DSC_5391.JPG,2115
DSC_5392.JPG,2131
DSC_5393.JPG,2116
DSC_5394.JPG,2147
DSC_5426.JPG,2002
DSC_5427.JPG,2035
DSC_5428.JPG,2098
DSC_5429.JPG,2095
DSC_5430.JPG,2030
DSC_5431.JPG,2018
DSC_5461.JPG,1429
DSC_5462.JPG,1491
DSC_5463.JPG,1393
DSC_5464.JPG,1392
DSC_5465.JPG,1395
DSC_5545.JPG,187
DSC_5546.JPG,181
DSC_5547.JPG,177
DSC_5548.JPG,179
DSC_5569.JPG,343
DSC_5570.JPG,329
DSC_5571.JPG,358
DSC_5594.JPG,669
DSC_5595.JPG,685
DSC_5596.JPG,684
DSC_5597.JPG,678
DSC_5598.JPG,660
DSC_5599.JPG,673
DSC_5600.JPG,654
DSC_5601.JPG,672
DSC_5627.JPG,1531
DSC_5628.JPG,1539
DSC_5629.JPG,1536
DSC_5630.JPG,1537
DSC_5631.JPG,1532
DSC_5653.JPG,1767
DSC_5654.JPG,1759
DSC_5655.JPG,1756
